index	key_guid	english	japanese	korean
31	016EEA8140701D5B79FD3D9F265A2D32	08.11.1982 {/n}This is not me trying to say {/n}'I told you so', Stepan. {/n}{/n}I just want to remind you that{/n}this is your responsibility. {/n}{/n}In the end it's up to your judgement {/n}if the mission must be aborted. {/n}{/n}Your decision will of course be respected,{/n}but I think I speak for all of us {/n}when I say I hope{/n}you'll manage to keep going. {/n}{/n}Yours, always. {/n}Maria. Strata Mission Control. 	1982年11月8日{/n}「言った通りでしょう」……{/n}と言いたいわけではありません。{/n}{/n}ただ、本件の責任者は{/n}あなたである、ということです。{/n}{/n}任務を中止するかどうかの最終判断は、{/n}あなたに委ねられています。{/n}{/n}当然、その決断は尊重されるものですが、{/n}「任務を続行できること」こそが{/n}私たち皆の望みだと言えるでしょう。{/n}{/n}どうかご無事で。{/n}ストラータ任務管制、マリアより 	1982년 11월 8일{/n}「말씀드린 대로죠」……{/n}라고 말하고 싶은 건 아닙니다.{/n}{/n}다만, 본 건의 책임자는{/n}당신이라는 것입니다.{/n}{/n}임무를 중지할지 여부에 대한 최종 판단은,{/n}당신에게 맡겨져 있습니다.{/n}{/n}당연히 그 결단은 존중되겠지만,{/n}「임무를 계속할 수 있는 것」이야말로{/n}우리 모두의 바람이라고 할 수 있겠습니다.{/n}{/n}부디 무사하시길.{/n}스트라타 임무 관제, 마리아로부터 
32	6599EEAC44385B62EE43F4998B36FAB6	09.11.1982{/n}{/n}Stepan, we have not heard from you or the crew in 16 hours.{/n}{/n}In my mind the reason for your silence is either because something has happened{/n}and you are too stubborn to call the emergency number or you have reached a depth beyond what our communication lines can handle, in which case I want to remind you that you will be extracted automatically when you reach the target coordinates. I know there is a third option, but I refuse to accept that. {/n}{/n}Yours, always.{/n}Maria. Strata Mission Control.	1982年11月9日{/n}{/n}ステパン、あなたからも他の乗員からも、16時間連絡がありません。{/n}{/n}あなた達の沈黙の理由については、二つ考えられます。何かが起きているにもかかわらず{/n}あなたが頑なに緊急回線を使っていないか、通信回線の限界を超える深度に達しているかの、どちらかでしょう。とにかく、目標座標に到達した時点であなた達は自動的に回収されることを、改めて伝えておきます。第三の可能性も承知していますが、それは考えたくありません。{/n}{/n}どうかご無事で。{/n}ストラータ任務管制、マリアより	1982년 11월 9일{/n}{/n}스테판, 당신에게서도 다른 승조원에게서도, 16시간째 연락이 없습니다.{/n}{/n}당신들의 침묵에 대해서는, 두 가지를 생각해 볼 수 있습니다. 무언가 일어나고 있음에도 불구하고{/n}당신이 완고하게 긴급 회선을 사용하지 않고 있거나, 통신 회선의 한계를 넘는 심도에 도달했거나, 둘 중 하나일 것입니다. 어쨌든, 목표 좌표에 도달한 시점에 당신들은 자동으로 회수된다는 것을, 다시 한번 전해 둡니다. 세 번째 가능성도 알고 있지만, 그것은 생각하고 싶지 않습니다.{/n}{/n}부디 무사하시길.{/n}스트라타 임무 관제, 마리아로부터
33	2BAFF7BC435BA9227AF783A5BDB06BB6	1 NEW ORDER	新規指令 1 件	신규 지령 1건
34	70E221134B291BC625B2D291A5F020A3	1. Record	1. 記録	1. 기록
35	423A309249D8F145D0F917A10898A949	10/11/1982	1982/10/11	1982/10/11
36	9616996A4A6548BD66DDFB9417B1164E	11/11/1982	1982/11/11	1982/11/11
37	BCEFA9A74EBB3D0FBB2D9F8EE66E0C2C	135.5 °C\r\nOFF\r\nOFF	135.5 °C\r 安定循環	135.5 °C\r 안정 순환
38	3E7C974D47DAABB20F9E47809908FE5C	2 nov\r\n\r\nFixed an issue with the engine filters. \r\nRight one breaks when under too much strain.\r\nSpoke to the pilot about it. Weird fucker.\r\n\r\n4 nov\r\n\r\nRight engine filter keeps breaking. Keeping an \r\ninventory on hand here in the shed for now.\r\nGuess Strata dug up the first junk they could find for this mission.\r\nDesperate times and all that. Idiots.\r\n\r\n5 nov\r\n\r\nPiece of shit filter broke again. Down to one spare now.\r\nIt'll have to do.\r\nKeep having nightmares. Always about Liliya and Vira.\r\nMiss them so goddamn much.\r\n\r\n7 nov\r\n\r\nThis mission was one big mistake from the start.\r\nThings go missing, everyone acts like lunatics, the pilot most of all.\r\nI bet my life he is risking this entire mission with that insane cassette of his.\r\nIf Adamenko is too much of an idiot to steer this ship straight, then I'll do it myself.\r\n	11 月 2 日\r\n \r\n機関フィルターを修理。\r\n右側は過度な負荷ですぐに壊れる。\r\n変人野郎の操縦士にも伝えた。\r\n \r\n11 月 4 日\r\n \r\n右機関のフィルターがまた故障。物置にある予備を使う。\r\nストラータは最初に見つけたガラクタをよこしたに違いない。\r\n任務の準備に余裕がないってか。馬鹿どもめ。\r\n \r\n11 月 5 日\r\n \r\nまたフィルターが逝った。もう予備は残り一個。\r\nこれで耐えるしかない。\r\n夢ばかり見る。リリヤとヴィラが出てくる悪夢を。\r\n死ぬほど会いたい。\r\n \r\n11 月 7 日\r\n \r\nこんな任務をやること自体、大間違いだ。\r\n物はなくなるし、みんなイカれてる。特にあの操縦士の野郎が。\r\nあいつのクソカセットのせいで、任務が危険にさらされてる。\r\nアダメンコが無能すぎてまともに操縦できないってんなら、俺がやるしかない。	11월 2일\r\n \r\n엔진 필터를 수리.\r\n오른쪽은 과도한 부하로 금방 고장 난다.\r\n별난 놈인 조종사에게도 전했다.\r\n \r\n11월 4일\r\n \r\n오른쪽 엔진 필터가 또 고장. 창고에 있는 예비품을 쓴다.\r\n스트라타는 제일 먼저 찾은 고철 덩어리를 넘긴 게 틀림없다.\r\n임무 준비할 여유도 없다는 거냐. 멍청한 놈들.\r\n \r\n11월 5일\r\n \r\n또 필터가 나갔다. 이제 예비품은 하나 남았다.\r\n이걸로 버티는 수밖에 없다.\r\n꿈만 꾼다. 릴리야와 비라가 나오는 악몽을.\r\n죽도록 보고 싶다.\r\n \r\n11월 7일\r\n \r\n이런 임무를 한다는 것 자체가, 큰 실수다.\r\n물건은 없어지고, 다들 미쳐 있다. 특히 그 조종사 놈이.\r\n그놈의 빌어먹을 카세트 때문에, 임무가 위험에 처해 있다.\r\n아다멘코가 너무 무능해서 제대로 조종을 못 한다면, 내가 직접 할 수밖에 없다.
39	632A10A74247520372C6FFA1A6172F24	2. Process data	2. データ処理	2. 데이터 처리
40	9E67119B4C55656B7A5014A432D5C8EF	3. Get coordinates	3. 座標取得	3. 좌표 취득
41	891438814EF42B3A3EF31FB745FF8D9D	3333333333333\r\n3333333333333\r\nFATHER\r\nSAVIOUR\r\nNOT ENOUGH	33333333333333\r\n33333333333333\r\n父親\r\n救世主\r\n不十分	33333333333333\r\n33333333333333\r\n아버지\r\n구세주\r\n불충분
42	E231266E4579A5D98027069F6B906CDA	4. After extracting coordinates from the sonar, how is the course correction carried out?\r\n\r\nInput the coordinates into the pilot, then steer toward the target \r\nusing the joystick\r\n \r\n\r\n5. How is the correct throttle RPM determined for drilling?\r\n\r\nRead the ground density from the decrypted data and match it \r\nto a RPM chart\r\n\r\n\r\nScore: ___ / 5\r\nReturn completed exam to the front desk for evaluation.	4. ソナーによる座標取得後、航路修正の手順を述べよ。\r\n座標を操縦装置へ入力し、ジョイスティックで目標地点へ航路を取る\r\n\r\n\r\n5. 掘削時における推進機構の適切な回転数の算出方法を述べよ。\r\n解析データから地盤密度を確認し、回転数チャートと照合する\r\n\r\n\r\nスコア： ___ / 5\r\n記入済み試験用紙は受付へ提出すること。	4. 소나로 좌표를 취득한 후, 항로 수정 절차를 서술하라.\r\n좌표를 조종 장치에 입력하고, 조이스틱으로 목표 지점을 향해 항로를 잡는다\r\n\r\n\r\n5. 굴착 시 추진 기구의 적절한 회전수 산출 방법을 서술하라.\r\n해석 데이터에서 지반 밀도를 확인하고, 회전수 차트와 대조한다\r\n\r\n\r\n점수： ___ / 5\r\n작성을 마친 시험지는 접수처에 제출할 것.
43	16A1650D4EC1EDF40077B58C0003BB6E	4509\r\n39\r\nMARRIED\r\nFULL\r\nMINOR	4509\r\n39\r\n既婚\r\n正規\r\n軽度	4509\r\n39\r\n기혼\r\n정규\r\n경도
44	BF5F531844C608997C3ED69B55B7CA45	6,914m	6 914 m	6 914 m
45	526619DC4F59E1603EE79AA5C961D269	6359\r\n43\r\nDIVORCED\r\nUNDER REVIEW\r\nYES	6359\r\n43\r\n離婚\r\n審査中\r\nあり	6359\r\n43\r\n이혼\r\n심사 중\r\n있음
46	BD601A774B26EB727225B687EF180B9D	6359\r\n43\r\nFATHER\r\nUNDER REVIEW\r\nUNJUST	6359\r\n43\r\n父親\r\n審査中\r\n冤罪	6359\r\n43\r\n아버지\r\n심사 중\r\n무고
47	668F440B43B92014E12E7B8C6E7A3F36	6359\r\n43\r\nFATHER\r\nUNDER REVIEW\r\nYES	6359\r\n43\r\n父親\r\n審査中\r\nあり	6359\r\n43\r\n아버지\r\n심사 중\r\n있음
48	5AB8C8AB44C92546791C05943D88479A	7,423m	7 423 m	7 423 m
49	597FCA314F1219D2E4BF52830AC3D79C	8,244m	8 244 m	8 244 m
50	FCCD67EC429768367055F9920A2C1165	8,751m	8 751 m	8 751 m
51	3C22DA5B41260C1A44D8759F0F58017D	8/11/1982	1982/8/11	1982/8/11
52	2195C39541FCB5C68ECCEEB53F86812A	82.3 °C\r\nBALANCED\r\nCIRCULATING	82.3 °C\r\n安定循環	82.3 °C\r\n안정 순환
53	FEC9E2194B984531FA3F238D3B72F8D7	84.3 °C\r\nBALANCED\r\nCIRCULATING	84.3 °C\r\n安定循環	84.3 °C\r\n안정 순환
54	99196E774AD178E0BAF22E9EAA9A0943	87.9 °C\r\nBALANCED\r\nCIRCULATING	87.9 °C\r\n安定循環	87.9 °C\r\n안정 순환
55	C82E74F240AEF6E893C4129842C9E694	9913\r\n28\r\nUNMARRIED\r\nPRIORITY\r\nNO	9913\r 28\r 未婚\r 上級\r なし	9913\r 28\r 미혼\r 상급\r 없음
56	0F9E9A65423488F29D5FB5BE73E220FB	<<Back	<<戻る	<<뒤로
57	1B6B2D6745240CA593820AB102C76649	<Press Key to Bind>	キー入力	키 입력
58	CAFABF4D40FD94B996EBFABDC236DC5D	> ACCESS TORPEDO ROOM (ENGINE HALL)\r\n> ARM AND DETONATE FORWARD DRILL TORPEDO\r\n> RESUME DRILL OPERATION	> 土雷室（機関ホール）へ移動\r > 前方掘削土雷を装填・起爆\r > 掘削運転を再開	> 어뢰실(엔진 홀)로 이동\r > 전방 굴착 어뢰 장전·기폭\r > 굴착 운전 재개
59	D6F217C441ED80614B3220A26BCB9680	> M.O.L.E.exe process terminated.\r\n\r\n> INTERNAL NOTICE:\r\n>   Chapter: 1 / 4 complete\r\n>   Operational status: Demo concluded\r\n>   The vessel will remain in standby.\r\n\r\n> STRATA ORDERS: \r\n>   Wishlist M.O.L.E. on Steam\r\n>   Await recall when the Signal returns\r\n>   Estimated recall window: Q1 2026\r\n\r\n> We thank all Geonauts for their service.\r\n> Glory to the depth. \r\n> Glory to STRATA.\r\n> _	> M.O.L.E.exeを終了しました。\r\n\r\n> 内部通知:\r\n>   チャプター 1 / 4 完了\r\n>   作戦状況: デモ版の締結\r\n>   掘削艇は待機させています。\r\n\r\n> ストラータより指令: \r\n>   Steamにてウィッシュリストに追加せよ\r\n>   信号が再び現れるまで待機せよ\r\n>   召集の想定時期: 2026年第1四半期\r\n\r\n> 地底航行士らの奉仕に感謝する。\r\n> 深淵に栄光あれ。\r\n> ストラータに栄光あれ。\r\n> _	> M.O.L.E.exe를 종료했습니다.\r\n\r\n> 내부 통지:\r\n>   챕터 1 / 4 완료\r\n>   작전 상황: 데모판 종료\r\n>   굴착기는 대기 상태로 둡니다.\r\n\r\n> 스트라타 지령: \r\n>   Steam에서 위시리스트에 추가하라\r\n>   신호가 다시 나타날 때까지 대기하라\r\n>   소집 예상 시기: 2026년 1분기\r\n\r\n> 지저 항해사들의 헌신에 감사한다.\r\n> 심연에 영광을.\r\n> 스트라타에 영광을.\r\n> _
60	DC6B85FD403CD216803DC1B4BBC992E8	>> MOUNTING MEDIA STRATA_REC_02.TAP\r\n>> SEEKING HEADER.........................FOUND  \r\n>> INIT SEISMIC DECRYPTION PROTOCOL v1.42  \r\n>> LOADING LUT TABLES.....................OK  \r\n>> CALIBRATING ANALOG FILTERS.............OK  \r\n>> CALIBRATING LOW-PASS MODULE............OK  \r\n>> NORMALIZING SIGNAL BANDS [12Hz-70Hz]...OK  \r\n>> STRIPPING CARRIER NOISE................DONE  \r\n>> INTERPOLATING MISSING FRAMES...........12 RECOVERED  \r\n>> DETECTED ARTIFACT: PHASE SHIFT / UNKNOWN ORIGIN  \r\n>> DETECTED ARTIFACT: CROSS-BAND GHOST ECHO  \r\n>> FFT SAMPLE BLOCK [0001-0032]...........PASS  \r\n>> FFT SAMPLE BLOCK [0033-0064]...........PASS  \r\n>> FFT SAMPLE BLOCK [0065-0096]...........CRC ERROR  \r\n>> CRC RETRY..............................PASS   \r\n>> VECTOR OFFSET CALCULATION...............COMPLETE  \r\n>> PROCESS DURATION: 7023ms  \r\n>> FINALIZING....PLEASE WAIT  	>> データ STRATA_REC_02.TAP を展開\r >> ヘッダを検索....................検出\r >> 地層復号プロトコル v1.42 を起動\r >> 参照テーブルを読み込み............OK\r >> アナログフィルタを較正.............OK\r >> 低域遮断プログラムを補正............OK\r >> 信号帯域を正規化 [12Hz-70Hz]...OK\r >> 搬送ノイズを除去................完了\r >> 欠損フレームを補間...........12 件修復\r >> 生成異常を検出：位相偏移 / 原因不明\r >> 生成異常を検出：帯域間ゴースト反響\r >> FFT 解析 [001-032]...........正常\r FFT 解析 [033-064]...........正常\r >> FFT 解析 [065-096]...巡回冗長検査エラー\r >> 巡回冗長検査の再試行 01..............成功\r >> 偏位ベクトル演算...............完了\r >> 処理時間：7023ms \r >> 最終処理中....お待ちください	>> 데이터 STRATA_REC_02.TAP 전개\r >> 헤더 검색....................검출\r >> 지층 복호 프로토콜 v1.42 기동\r >> 참조 테이블 로드............OK\r >> 아날로그 필터 교정.............OK\r >> 저역 차단 프로그램 보정............OK\r >> 신호 대역 정규화 [12Hz-70Hz]...OK\r >> 반송 노이즈 제거................완료\r >> 손실 프레임 보간...........12건 복구\r >> 생성 이상 검출: 위상 편이 / 원인 불명\r >> 생성 이상 검출: 대역 간 고스트 반향\r >> FFT 해석 [001-032]...........정상\r FFT 해석 [033-064]...........정상\r >> FFT 해석 [065-096]...순환 중복 검사 에러\r >> 순환 중복 검사 재시도 01..............성공\r >> 편위 벡터 연산...............완료\r >> 처리 시간: 7023ms \r >> 최종 처리 중....기다려 주십시오
61	1BE8ADCD4C86B51EBA3D00904F17AC1B	>> MOUNTING MEDIA STRATA_REC_02.TAP\r\n>> SEEKING HEADER.........................FOUND  \r\n>> INIT SEISMIC DECRYPTION PROTOCOL v1.43  \r\n>> LOADING LUT TABLES.....................OK  \r\n>> CALIBRATING ANALOG FILTERS.............OK  \r\n>> NORMALIZING SIGNAL BANDS [09Hz-88Hz]...OK  \r\n>> STRIPPING CARRIER NOISE................DONE  \r\n>> INTERPOLATING MISSING FRAMES...........27 RECOVERED  \r\n>> DETECTED ARTIFACT: PHASE DRIFT / UNSTABLE  \r\n>> DETECTED ARTIFACT: CROSS-BAND ECHO LOOP  \r\n>> FFT SAMPLE BLOCK [0001-0032]...........PASS  \r\n>> FFT SAMPLE BLOCK [0033-0064]...........CRC ERROR  \r\n>> CRC RETRY 01...........................FAIL  \r\n>> CRC RETRY 02...........................FAIL  \r\n>> CRC RETRY 03...........................FAIL  \r\n>> CRC RETRY 04...........................FAIL  \r\n>> PROCESS TIMED OUT......................RESTART REQUIRED	>>データ STRATA_REC_02.TAP を展開\r >> ヘッダを検索....................検出\r >> 地層復号プロトコル v1.43 を起動\r >> 参照テーブルを読み込み............OK\r >> アナログフィルタを較正.............OK\r >> 信号帯域を正規化 [09Hz-88Hz]....OK\r >> 搬送ノイズを除去................完了\r >> 欠損フレームを補間...........27 件修復\r >> 生成異常を検出：位相偏移 / 不安定\r >> 生成異常を検出：帯域間反響\r >> FFT 解析 [001-032]...........正常\r >> FFT 解析 [033-064]...巡回冗長検査エラー\r >> 巡回冗長検査の再試行 01..............失敗\r >> 巡回冗長検査の再試行 02..............失敗\r >> 巡回冗長検査の再試行 03..............失敗\r >> 巡回冗長検査の再試行 04..............失敗\r >> 処理時間切れ.....................要再起動	>>데이터 STRATA_REC_02.TAP 전개\r >> 헤더 검색....................검출\r >> 지층 복호 프로토콜 v1.43 기동\r >> 참조 테이블 로드............OK\r >> 아날로그 필터 교정.............OK\r >> 신호 대역 정규화 [09Hz-88Hz]....OK\r >> 반송 노이즈 제거................완료\r >> 손실 프레임 보간...........27건 복구\r >> 생성 이상 검출: 위상 편이 / 불안정\r >> 생성 이상 검출: 대역 간 반향\r >> FFT 해석 [001-032]...........정상\r >> FFT 해석 [033-064]...순환 중복 검사 에러\r >> 순환 중복 검사 재시도 01..............실패\r >> 순환 중복 검사 재시도 02..............실패\r >> 순환 중복 검사 재시도 03..............실패\r >> 순환 중복 검사 재시도 04..............실패\r >> 처리 시간 초과.....................재기동 필요
62	B599BAE34D16D199F37775A5783FEA1F	>> OBSTRUCTION...........CLEARED\r\n>> PATH AHEAD............OPEN\r\n\r\n>> NOTIFY NAVIGATOR\r\n>> RESUME DRILLING	\r\n>> 障害物............... 除去\r\n>> 前方経路............... 開通\r\n\r\n>> 地航行士へ通知：\r\n>> 掘削を再開	\r\n>> 장애물............... 제거\r\n>> 전방 경로............... 개통\r\n\r\n>> 항해사에게 통지:\r\n>> 굴착 재개
63	8ADACD454F1B426D32D5B28DB516D665	>> packet.lattice :: align stable  \r\n>> fft.block :: phase_shift=0.00001  \r\n>> crc.checksum :: OK [4B7C]  \r\n>> hex.dump :: 51 A9 6E 12 3F 88 09 C4  \r\n>> resample.block :: drift compensated  \r\n>> stream.sync :: COMPLETE  \r\n>> coordinate.data :: VALID [65.32N]\r\n>>Sonar data status: Converted	>> パケット格子 :: 整列安定\r >> fft 解析 :: 位相偏移=0.00001\r >> 巡回冗長検査 :: OK [4B7C]\r >> 16 進列 :: 51 A9 6E 12 3F 88 09 C4\r >> 再構成処理 :: 偏移補正済み\r >> 伝送同期 :: 完了\r >> 座標情報 :: 有効 [65.32N]\r >>ソナー情報：変換済み	>> 패킷 격자 :: 정렬 안정\r >> fft 해석 :: 위상 편이=0.00001\r >> 순환 중복 검사 :: OK [4B7C]\r >> 16진 열 :: 51 A9 6E 12 3F 88 09 C4\r >> 재구성 처리 :: 편이 보정 완료\r >> 전송 동기 :: 완료\r >> 좌표 정보 :: 유효 [65.32N]\r >>소나 정보: 변환 완료
64	A0E3D7B940D331FA4FD0C987192EB464	>>Accept<<	>>ケッテイ<<	>>결정<<
65	DBBA04CC4743C229C40D5ABCBE9775F2	>>Apply	>>適用	>>적용
66	D7350E5B48DFE48F89CA4288C60DD523	>>Audio	>>オーディオ	>>오디오
67	070C8E684B012BEACBBD24805E84AA0A	>>COORDINATES TRANSFER SYSTEM	>>座標転送システム	>>좌표 전송 시스템
68	F5BF3835417EDD4CD321F8A26F63EE03	>>Credits	>>クレジット	>>크레딧
69	C6E9221747AEE57AEE6595908FD268B6	>>Desktop	>>ゲーム終了	>>게임 종료
70	84D557724E8A0224286943A42F39D6D4	>>Gameplay	>>ゲーム	>>게임플레이
71	E36F6BAA49B33D438355A4BFF61A3CEC	>>Graphics	>>グラフィック	>>그래픽
72	56A2ED094EDAB0F2DBA291873B1B0F5B	>>Keybinds	>>キーコンフィグ	>>키 설정
73	D428CAD0457CCD133F006CBD85248E38	>>Language	>>ゲンゴ	>>언어
74	DD302FCA44D940D7224FE6BDFC2FE957	>>Main menu	>>メインメニュー	>>메인 메뉴
75	9094F3C74456C1B4A50527869F9643A7	>>Options	>>セッテイ	>>설정
76	3CD782B54E5CC4C09C3A3A8EA8B01903	>>Reset to defaults	>>ショキセッテイ	>>초기 설정
77	CFCFB6324FD04D5496D7FDAB41E5A3C1	>>Resume	>>再開	>>재개
78	317C64DF4D23142B3CCCBD8BD77235CB	>Strata Command System [Version 79.0411]\r\n>Administrative Access Required For Use\r\n>Administrative Access Granted\r\n>Root Access Granted	>ストラータ指令システム [バージョン 79.0411]\n>管理者権限が必要\n>管理者権限を付与\n>ルート権限を付与	>스트라타 지령 시스템 [버전 79.0411]\n>관리자 권한이 필요함\n>관리자 권한 부여\n>루트 권한 부여
79	2F18A73A447261DDC4EF54A3ABF5C9BC	A 6 chambered ticket out of here.	6発装填式。ここから抜け出すための“切符”。	6연발 장전식. 이곳을 빠져나가기 위한 “표”.
80	DDD1EF844549EE7898E4AB9C1486E89D	A Navigator's best friend. Records sonar readings and transfers coordinate data to guide the MOLE.	地航行士に欠かせないモノ。音響測定値を記録シ、モールを導く座標情報を転送スル。	항해사에게 없어서는 안 될 물건. 음향 측정값을 기록하고, 두더지를 인도할 좌표 정보를 전송한다.
81	C23055694EC7487CFC620B815F3CF72A	"A Remarkable Revival!\r\n\r\nJust when you thought old man Kaminskyi had lost his touch he does it again. Taras Kaminskyi, who became a household name when he cemented the record for deepest descent in 1964, describes himself as someone who has always been a restless soul.\r\n""Back in the heydays of drilling they just couldn't keep me away from the ground,"" Kaminskyi says. ""The people at Strata used to say I must be part Mole.""\r\n\r\nIt's been nine years since Strata's last manned deep-earth drilling mission. Destabilized bedrock and falling mineral prices has been some of the reasons why vessels such as the M-12 were figuratively put on the shelf.\r\n""It felt right, somehow,"" Kaminskyi laughs when asked about why he choose to accept a mission that is as daring as it is dangerous. ""The M-12 and I have been through a lot together. When Strata unveiled the mission I just thought to myself, 'no way I'm letting anyone else go down with her.'"""	驚異の復帰！\r\n \r\nもう衰えたと思われたカミンスキーだが、まだ終わってはいなかった。\r\n1964 年の最深到達記録で一躍有名となったカミンスキーは、\r\n自らを「休まらない人間」だと表現する。\r\n「掘削が盛んだった頃、土の中から出てこないってよく言われたものさ」\r\n「ストラータの連中には、半分モグラ扱いされていたよ」、そう語るのはカミンスキー氏ご本人だ。\r\n \r\nストラータ社の有人深部掘削は、実に 9 年ぶりとなる。\r\n地盤の不安定化と鉱物価格の下落が重なり、\r\nM-12 号艇のような機体は格納庫で眠らされていた。\r\n無謀とも言える危険な任務を引き受けた理由について、同氏は笑いながらこう答える。\r\n「それが筋だと感じた。危険は百も承知だが、M-12 とは苦楽を共にしてきたからね。\r\n例の任務が発表されたとき、誰にもアイツと一緒に潜らせてたまるか、そう思ってしまったんだ」。	경이로운 복귀!\r\n \r\n이제는 한물갔다 여겨졌던 카민스키였지만, 아직 끝난 것이 아니었다.\r\n1964년 최심부 도달 기록으로 단숨에 유명해진 카민스키는,\r\n스스로를 “가만히 있지 못하는 인간”이라 표현한다.\r\n“굴착이 한창이던 시절엔, 땅속에서 나오질 않는다는 말을 자주 듣곤 했지.”\r\n“스트라타 녀석들은 날 반쯤 두더지 취급했어”, 그렇게 말하는 것은 카민스키 본인이다.\r\n \r\n스트라타 사의 유인 심부 굴착은, 실로 9년 만의 일이다.\r\n지반의 불안정화와 광물 가격의 하락이 겹치면서,\r\nM-12호정 같은 기체는 격납고에서 잠들어 있었다.\r\n무모하다고도 할 수 있는 위험한 임무를 받아들인 이유에 대해, 그는 웃으며 이렇게 답한다.\r\n“그게 도리라고 느꼈어. 위험은 누구보다 잘 알지만, M-12와는 고락을 함께해 왔으니까.\r\n그 임무가 발표됐을 때, 다른 누구도 저 녀석과 함께 내려보낼 수 없다, 그렇게 생각해 버린 거야.”
82	CB2FA7AA4720E7027750E4BE5960A3B7	A Sun That Never Sets \r\nPetro Kaminskyi	しずまぬタイヨウ \r\nペトロ・カミンスキー	지지 않는 태양 \r\n페트로 카민스키
83	543224E84E6C1047B4155DA78DA4DD28	A Sun That Never Sets - Petro Kaminskyi	しずまぬタイヨウ  - ペトロ・カミンスキー	지지 않는 태양  - 페트로 카민스키
84	A112400149F6B4C29329D3B7D1E8AD66	A cassette used for mail inscription.	メッセージを書き込むためのカセット。	메시지를 기록하기 위한 카세트.
85	A07B8B3A4F287A09B47342BFB3DEBBDB	A compact model. twin spools visible through the scratched plastic shell.	小型タイプ。傷だらけのプラスチックケース越しに、磁気テープが見える。	소형 타입. 흠집투성이 플라스틱 케이스 너머로, 자기 테이프가 보인다.
86	30CF6F56470FD753C3946396BFE5D985	A crazy way to make a path between our vessels for sure, but we'll take it.	無茶苦茶な穴の開け方だが 感謝するよ	엉망진창인 구멍 뚫는 방식이지만 고맙군
